"","filename","24BEAST-constant-final/","30BEAST-skygrid-narrow/","33BEAST-skygrid-10/","37BEAST-skygrid-30/","best"
"1","108869-a.log",-8387.9978089801,-8384.94466166037,-8386.55562491008,-8384.89595395929,4
"2","111847-a.log",-17278.6430453302,-17279.309440312,-17278.6673039146,-17284.6319955258,1
"3","111848-1-a.log",-11336.0753909191,-11336.5481501206,-11339.5618345762,-11335.8497440307,4
"4","111848-2-a.log",-21471.2648306907,-21458.2670036064,-21461.1046596208,-21462.4095850856,2
"5","16362-a.log",-7425.61230349305,-7424.82011026535,-7424.996205397,-7425.23859897754,2
"6","28376-a.log",-8889.1269037933,-8890.0417366934,-8889.95885914607,-8890.1334636655,1
"7","30622-a.log",-6160.73150468995,-6163.22707137016,-6164.31669656504,-6164.55400202237,1
"8","30631-a.log",-3154.46446085407,-3155.30348886488,-3156.45821521181,-3154.04397627247,4
"9","30647-a.log",-5505.25640838093,-5503.11401090725,-5499.25874145469,-5505.48939331599,3
"10","30651-original-a.log",-4146.22939473408,-4156.81234220531,-4157.73336876958,-4156.13513931216,1
"11","30660-a.log",-4274.04812841314,-4270.02925001606,-4268.88247571211,-4272.79632196175,3
"12","30667-a.log",-6381.63017668711,-6383.52002030537,-6384.61218696338,-6384.62530591146,1
"13","49641-a.log",-5117.5942676901,-5097.82358333487,-5100.20635730612,-5099.31791402816,2
"14","51318-a.log",-10636.1421540031,-10637.7879341973,-10636.0967741835,-10637.8249388401,3
"15","51322-a.log",-4568.17271129819,-4570.03680050647,-4572.31687539722,-4570.36263336913,1
"16","56552-a.log",-8780.9191461527,-8775.54842730017,-8777.53895122296,-8775.9843734661,2
"17","B-a.log",-2846.56339425589,-2848.95648345323,-2847.91593134357,-2848.76861750275,1
"18","C-a.log",-3676.61633852283,-3673.01626090898,-3673.46385485264,-3674.342095187,2
"19","G-a.log",-2626.26390389309,-2628.46638324639,-2629.13422999454,-2628.5062506927,1
"20","H-a.log",-2460.70118772424,-2459.02457510793,-2459.78173209618,-2459.44466245508,2
"21","OC-a.log",-8756.80562244571,-8755.37160560328,-8756.38546373683,-8756.10469961056,2
"22","OS-a.log",-2890.70541800426,-2891.2200848366,-2892.06927805627,-2892.3315859541,1
"23","OX-a.log",-4138.27066616218,-4137.93075864636,-4139.40807304949,-4139.01280187688,2
"24","OZA-a.log",-3873.08006662709,-3873.03047817666,-3873.9321181545,-3874.81438089035,2
"25","OZL-a.log",-2825.42293865676,-2824.76734157433,-2825.10957571105,-2823.64636416762,4
"26","PC-a.log",-3617.04870507678,-3615.95395457634,-3616.08766970135,-3616.60924423014,2
"27","PD-a.log",-2677.10137262024,-2678.58921429742,-2679.09609900457,-2679.13429844449,1
"28","QJ-a.log",-2312.29756795235,-2312.26415959723,-2313.27476883081,-2313.44613955417,2
"29","QT-a.log",-2435.45180566852,-2438.11193819205,-2441.27753523727,-2441.66368460333,1
