"","subtype","vloop","rate","rate2","adj.rate"
"1","A1",1,0.0645931563158102,0.000864527287904841,0.864527287904841
"2","A1",2,0.0610376546656768,0.000457362040470085,0.457362040470085
"3","A1",3,0.00491911139013207,4.69920676297165e-05,0.0469920676297165
"4","A1",4,0.0618571985881655,0.000631696555084379,0.631696555084379
"5","A1",5,0.0251224947515774,0.000724822677706574,0.724822677706574
"6","AE",1,0.0864478499645254,0.000996784785226725,0.996784785226725
"7","AE",2,0.0708043539200964,0.000556018286251254,0.556018286251254
"8","AE",3,0.00317718841137192,3.0242599712301e-05,0.030242599712301
"9","AE",4,0.0667191969491818,0.00079828916240129,0.79828916240129
"10","AE",5,0.0535309962416471,0.00152323973045337,1.52323973045337
"11","AG",1,0.0902138988193737,0.00117674953991831,1.17674953991831
"12","AG",2,0.0520612808373008,0.000401203705512115,0.401203705512115
"13","AG",3,0.00498876795777971,4.76709790518845e-05,0.0476709790518845
"14","AG",4,0.0408115789214124,0.000423885777020215,0.423885777020215
"15","AG",5,0.0237869042601365,0.000676513546082457,0.676513546082457
"16","B",1,0.0448143541841771,0.00053082244320461,0.53082244320461
"17","B",2,0.0284309627484677,0.00022153996946858,0.22153996946858
"18","B",3,0.00331918984706449,3.17163792521555e-05,0.0317163792521555
"19","B",4,0.0319937522819202,0.000334110116727722,0.334110116727722
"20","B",5,0.0227056148181743,0.000609854395773701,0.609854395773701
"21","C",1,0.0499542621727245,0.000658576698566193,0.658576698566192
"22","C",2,0.0375160260694007,0.000288256035824556,0.288256035824556
"23","C",3,0.00451609884276174,4.31475560663603e-05,0.0431475560663603
"24","C",4,0.0376800086412043,0.000445302000798899,0.445302000798899
"25","C",5,0.0325781075812673,0.000877982227140273,0.877982227140273
"26","D",1,0.0478046645758164,0.000645766575883449,0.645766575883449
"27","D",2,0.0479061264320501,0.000378242456756066,0.378242456756066
"28","D",3,0.00861651028272583,8.34933166930797e-05,0.0834933166930797
"29","D",4,0.071285655841734,0.000782642150137976,0.782642150137976
"30","D",5,0.0233676122636111,0.000667299415627525,0.667299415627525
"31","F1",1,0.0706863673683007,0.000864665044260559,0.864665044260559
"32","F1",2,0.0398618365690504,0.000311572733319398,0.311572733319398
"33","F1",3,6.47509586144786e-09,6.16675796328368e-11,6.16675796328368e-08
"34","F1",4,0.0293766889024756,0.000429248422319278,0.429248422319278
"35","F1",5,0.0383127827210381,0.00106609482354193,1.06609482354193
