"","subtype","VR1.A.no","VR1.G.no","VR1.T.no","VR1.C.no","VR1.A.yes","VR1.G.yes","VR1.T.yes","VR1.C.yes","VR2.A.no","VR2.G.no","VR2.T.no","VR2.C.no","VR2.A.yes","VR2.G.yes","VR2.T.yes","VR2.C.yes","VR3.A.no","VR3.G.no","VR3.T.no","VR3.C.no","VR3.A.yes","VR3.G.yes","VR3.T.yes","VR3.C.yes","VR4.A.no","VR4.G.no","VR4.T.no","VR4.C.no","VR4.A.yes","VR4.G.yes","VR4.T.yes","VR4.C.yes","VR5.A.no","VR5.G.no","VR5.T.no","VR5.C.no","VR5.A.yes","VR5.G.yes","VR5.T.yes","VR5.C.yes"
"1","01_AE",0.399047163174012,0.149563739110561,0.214768195462638,0.170072225845726,0.40944931428275,0.157717994172815,0.210907588708882,0.178451336535306,0.373828743731654,0.185473887767071,0.303295385589756,0.103469581309276,0.385719854454029,0.190661846844902,0.314383260396286,0.106355897058483,0.408383638132393,0.187200846070242,0.186355594277405,0.163597239214523,0.365921353763201,0.174920154895306,0.179588793300388,0.14971607299366,0.309451040969294,0.132325984529121,0.202727977309535,0.153690835531981,0.31706539874422,0.145531160870183,0.204469939097696,0.159554574232626,0.368706424075552,0.163806923874038,0.218752910028078,0.215380071084769,0.371903431626724,0.18274099969404,0.221259741278315,0.20390547902664
"2","02_AG",0.295606850335071,0.115413253909159,0.137379002233805,0.126582278481013,0.367250950315427,0.155731973699316,0.182749239954075,0.196096192181065,0.34434612463838,0.153264797435368,0.25844606408137,0.11313068891491,0.405149677608077,0.178695426859813,0.295909973785007,0.115479702046052,0.387837837837838,0.20963963963964,0.182072072072072,0.165675675675676,0.38755375701387,0.201097720436963,0.18284173521885,0.162981525592323,0.325395054497222,0.151315789473684,0.210319452579515,0.204157330705318,0.336938670083301,0.148471094195323,0.222650673944639,0.19960353867958,0.381405416289137,0.188009664753851,0.224755864290748,0.177388502969898,0.374417906896311,0.206089509172967,0.231709245576836,0.172075600037452
"3","A1",0.360445804253527,0.151842754053093,0.158986570990543,0.160094391230376,0.369505235834503,0.161851741724987,0.176782489247188,0.189497251323998,0.413654179447592,0.164547059330787,0.308453031898495,0.109035510451674,0.406526050911689,0.17349041917789,0.307297676122129,0.111256150366771,0.39469267247045,0.200100352878131,0.186475617031173,0.165191706858374,0.394392866053611,0.195054452668945,0.187807035643674,0.161305867045066,0.319382186612837,0.175281528917752,0.228034002838956,0.203042945609509,0.317681178059653,0.173057474704478,0.222492684420297,0.204194815583632,0.413918296034486,0.147181780764006,0.206377152461654,0.206185872344131,0.41580463068597,0.153471125505915,0.20945932092791,0.210881970841242
"4","A6",0.366893431165461,0.17412018972874,0.19556539119867,0.18487436925878,0.363047466807737,0.174142372031434,0.197081204580398,0.20763446205619,0.401361792898707,0.165020050458552,0.302568137480558,0.130757279115344,0.403899858455409,0.160898713259511,0.303792851634684,0.131408576650396,0.370913770913771,0.212998712998713,0.188030888030888,0.173745173745174,0.378362252663623,0.214173515981735,0.187835616438356,0.173418569254186,0.341331269349845,0.153766769865841,0.187306501547988,0.208720330237358,0.348796272991257,0.160428247773107,0.186835991420085,0.214179768922681,0.327600327600328,0.161752661752662,0.168714168714169,0.213759213759214,0.367149758454106,0.169082125603865,0.178743961352657,0.21256038647343
"5","BC",0.330917591290306,0.156756263999583,0.177814241808616,0.0983552117518362,0.365439810582008,0.181281080927177,0.213750253292767,0.114942865352989,0.367561534834326,0.183039259877134,0.312462784284406,0.136936421004134,0.370893796260548,0.17848852168414,0.30667146215425,0.141977480842554,0.434623813002191,0.195763330898466,0.160701241782323,0.154735816897979,0,0,0,0,0.304685510567864,0.127145403615992,0.216475681181564,0.186656480774128,0.322010083757173,0.131453697022144,0.239811299989084,0.180482798611951,0.403030303030303,0.171717171717172,0.187878787878788,0.184848484848485,0.437387553754831,0.172730642383579,0.177972028042585,0.204379765571604
"6","B",0.377484460196482,0.208182549176078,0.205897256633346,0.124769783303772,0.389069154259769,0.201468607730122,0.223982902586231,0.1313404232153,0.385519713923773,0.169636344136203,0.296218319140847,0.136031841168692,0.388625474877855,0.171068098482535,0.29613245635355,0.136069839185413,0.421357102716752,0.199462071720844,0.174124343641888,0.150500829777146,0.417999655003608,0.193751839406067,0.174958298986094,0.150441777654566,0.326468524377599,0.159006086020294,0.244614235049305,0.165645578939987,0.325977883992363,0.158345860977339,0.244647062997149,0.168914865220297,0.378806078436884,0.181836454607158,0.183775280062509,0.244459665583144,0.372424588573127,0.190883961814598,0.176064164256311,0.248354053725938
"7","C",0.336731012786071,0.145519853045853,0.207394241518388,0.104503996240713,0.368124288226499,0.162076570620819,0.232467538089675,0.121856559264985,0.388195836365984,0.167214497717721,0.287001894869802,0.135378556208079,0.392475566727227,0.170795586359371,0.288004905212051,0.13994527835921,0.425520474603043,0.200564555381069,0.165950354023749,0.150995261316362,0.422242615158928,0.194202934347244,0.170336570962296,0.149732251518955,0.306041603145869,0.100972105730889,0.199118948915699,0.179830335564579,0.320712178657586,0.109482172149183,0.212754222800191,0.184886114832734,0.427319929191948,0.166080508652692,0.176129340458338,0.19659040182649,0.446724460077068,0.175655563992928,0.166155381692494,0.197894071723112
"8","D",0.330255846767873,0.184566032378255,0.163259931369005,0.148089970991988,0.368528198341691,0.193883815808354,0.181654892090124,0.163704034183398,0.405233568126263,0.165526499248373,0.29840546952278,0.126471179327535,0.410294675808151,0.167490277267596,0.296204863262687,0.121730862785993,0.409358076024743,0.188623200878103,0.161414053570916,0.184389895174209,0.406082828988381,0.183271026558698,0.167222814295633,0.187517964972904,0.333919479291452,0.149253418025044,0.209553052805648,0.156805934703859,0.353969804291877,0.153156545136745,0.21693325450103,0.152132680826927,0.372174122174122,0.179864117364117,0.23253367003367,0.193061568061568,0.366277600552963,0.174979915414698,0.234773998143563,0.209308978729269
"9","F1",0.366691208167055,0.182312582346518,0.166510076563459,0.230492669122149,0.348377393142154,0.182078633987221,0.172821526502003,0.235886855337967,0.402449268986391,0.15747770592799,0.296127689699555,0.128539172921077,0.399608457676506,0.180394727696982,0.281840790204487,0.136603335986286,0.418543543543544,0.191253753753754,0.168918918918919,0.167042042042042,0,0,0,0,0.243092691622103,0.0835561497326203,0.182040998217469,0.147504456327986,0.258454106280193,0.106280193236715,0.21256038647343,0.176328502415459,0.362626262626263,0.166666666666667,0.268686868686869,0.185858585858586,0.363534771866995,0.173494641568105,0.255727903696142,0.182599171291214
